103_4M	105_4M	10_4M	128_4M	12_4M	130_4M	133_4M	137_4M	150_4M	157_4M	172_4M	179_4M	180_4M	181_4M	184_4M	18_4M	195_4M	1_4M	201_4M	203_4M	224_4M	229_4M	238_4M	240_4M	241_4M	244_4M	256_4M	258_4M	263_4M	265_4M	268_4M	26_4M	272_4M	274_4M	275_4M	276_4M	281_4M	282_4M	332_4M	335_4M	338_4M	341_4M	343_4M	345_4M	350_4M	367_4M	377_4M	383_4M	385_4M	387_4M	38_4M	397_4M	39_4M	42_4M	45_4M	503_4M	504_4M	507_4M	511_4M	51_4M	521_4M	526_4M	527_4M	532_4M	536_4M	53_4M	544_4M	546_4M	549_4M	560_4M	565_4M	567_4M	570_4M	572_4M	577_4M	582_4M	585_4M	587_4M	589_4M	590_4M	591_4M	598_4M	599_4M	608_4M	615_4M	622_4M	624_4M	626_4M	633_4M	635_4M	637_4M	640_4M	70_4M	78_4M	7_4M	82_4M	87_4M	9_4M
MN00001	0	0	0	0	0.0367824897340317	0	0	0	0	0	0.00014188231919037	0	0	0.00613926183089343	0	0	0	0.000365270601326874	0	0	0	0	0.00211170487215679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000697146495684116	0	0	0.00030784323959862	0.000899170110798223	0	0	0.00118791788628082	0	0.0001081119632871	0	0	0.00500831576248814	0.00594339787933617	0	0	0	0	0	0	0.00133641509363992	0.000684068571198189	0.00042550911035221	0	0.00245042959787077	0	0	0	0	0.000218017989753833	0	2.53196816277986e-05	0	0.000312093218837411	0	0	0.000200213010412445	0	2.72628666202576e-05	0	0	0	0.000100399180046512	0	0.000124231522519631	0	0	0	0.000495437451364489	0	0	0	0.000668504164706705	0	0.0130324636627816
MN00002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0241595017323804	0	0	0	0	0	0	0.000490013016489598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116204449427527	0	0	0	0	0	0	0	0	0	0.0338354835794671	0	0	0	0	0	0	0	2.70789578608593e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000385905927948809	0	0	0	0	0.00368739602167421	0	0.000139523795723053	0	0	0	0	0	0	0	0	0	0	0
MN00003	0	0	0	0	0	0	0	0	0	0	6.01348982196826e-05	0	0	0	0	0	0	0	0	0	0	0.000169739794901918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0183810834571513	0	0	0	0	0	0	0.00204289593541615	0	0	0	0	0	0	0	0	0	0	0.00064692452099908	0.00103284394704095	0.00375078810408836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011334016578713	0	0	0	0	0	0	0.034054129847047	0	0	0	2.18257586742274e-05	8.58504582123021e-05	0
MN00004	0	0	0	0.000479012901051067	0.00303244888482784	0	0.00022339983441892	0	0	0	0	0.00511432001769203	0	0	0.00336089356249472	0.000968898430484273	0.000228052532169677	0	0	0	0	0	0	0.00108758670691529	0.00139088823220062	0.000462761390918334	0	0	0.000890084241066507	0	0.0639195092400821	0	0.00311428490351216	0.00199813363678053	0	0.00167538925798225	0.00308179412938959	0	0	0.0472214145476404	0	0.00751323474244108	0	0.00390985441862133	0	0	0.00439714715953772	0	0	0.0016444885654932	0.000519019087267572	0	0.00242152079259759	0.000112827959637116	0.410934548640514	0	0	0	0.000404410266683649	5.62198548938705e-05	0.00200201635866652	0	0	0	0.00205246100182133	0.0023076799737839	0	0	0	0.2167464536448	0	0	0	0	0	0	0	0	0	0.00150802468191619	0.000198008750878324	0	0	0	0	0.000145183837748314	0.0288808690600131	0.000396424194073732	0.00072684876474433	4.97391386864572e-05	0	0	0.000180827821633781	0.000390208308924686	0	0.017039845924848	0	0
MN00005	0	0	0	0	0	0	0.000111462140832378	0	0	2.2757509043506e-05	0	7.80453917960855e-05	0	0	0	0.00132318053058295	0.000109057847563508	0	0	0	0	0	0	0	0	8.2217090688033e-05	0	0	0	0	0	0	0	0	0	0	0.000120759440147466	0	0.000401409345109452	0.00108257304880222	0	0.000130145153084199	0.00521197315434478	1.3757857210221e-05	0	0	0	0	0	0.000995761344497262	0	0	0	0.00197959920390084	0.000222872694895423	0.000528607581398863	0	0	0	0.000484239115705827	5.30983448526522e-05	0	0	0	7.61609710555141e-05	0	0	0	0	0	0.000670015824641732	0	0	0.000205556527669022	0	0	0	0.0103130940533513	0	0	3.42862255716131e-05	0.00997573915550379	0	0	0.00089136293971836	0	0	0.000983156758261873	0	0	0	0	0.000109787562077759	0	0	0.000169889359014751	0	0
MN00006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000268823088576519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000135836439479114	7.66259906159133e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0266684959172868	0	0	0	0	0	0	0	0	0	0	0	0	1.26464560391585e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72738927585226e-05	0	0	0	0	1.60500389044476e-05
MN00008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.09296389377777e-05	0	0	0	0	4.17763144645759e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00009	0	0	0	0	0	0.225188327508594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000225585566599039	0	0	0	0	0	0	0.0019580012424924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000664871334685017	0	0	0.000166620984007738	0	0	0.000357903790725616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000742811846997389	0	0	0	0	0	0.00602710861537589	0.0523678083841432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00010	0	0	0	0.00126947951442746	0	0	0	0.0169301807178187	0	0	0	0.00788939560079836	0.000103783343108288	0.000487059063768806	0.000112732497335947	0.000110539922177546	0	0	0	0	0	0	0	0	0.000546550115605848	0.00165623538792152	0	0	9.829206070686e-05	0	0	0	0	0	0	0	0	0	5.88299299224618e-05	0	0	0	0	0.0013469686105022	0	0	0.000115025647635474	4.71388963054556e-05	0	0	0	0	0	0	0.000370877100459573	0	0	0	0	0	0.000146250148749154	0	0	0.0313982722716243	0.000889022278490339	0.00612493958601315	0	0.000488956224262115	0	0.000586552936609887	2.69648391521921e-05	4.90515468781443e-05	0.000747866391213435	0	0	0	0.000691157379389212	0	0.000615003734814438	6.14391400483526e-05	0	0	0	0.000129794298602394	0	0	0	0	0	0	0	0.000990397664958061	0	0.000318953487729029	0	0	0	0
MN00011	0	0	2.07404482295255e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.01857119471913e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.02113246456833e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.74623782005538e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00056054155165046	0	0	0	0	0
MN00012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000153767781817701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7427658850669e-05	0	0	0	0.000129737177053227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00013	0	0	0	0.000186434036463427	0	0	0	0	0	0	0	0	0	9.71800863441562e-05	0.000629262959664162	0.00159872399035874	0	0	0	0	0	0	0	0	3.24140989420802e-05	8.04104021549515e-05	0	0	0	0	0	0	3.14573133369506e-05	0	0	0	0	0	0	0	0	0	0	0.00440157876092513	0	0	0	0	0	0	0	0	0	0	3.57155504561651e-05	0	0	0	0	0.000202640621935698	0.00115769483706671	0	0	0.000137342351677874	0.000205907276176373	0.000461380896498474	0	7.27768926905589e-05	0	0.00203255236426801	0	0	0	0	0	0	5.42755846277168e-05	0	0	0.000272363207281979	0	0.000183926256280292	0	0	0	0	0	0	0	0	0	0.010476596414089	0	0.00832301909109248	0	0.00311524665526818	0	0
MN00014	0.38375043149291	2.14193249220234e-05	0	7.35210034350983e-05	0	0	0	0	0.0294876941923227	0	0	0.000417557005939841	0	0	0.00016418799184959	0.000275963000887478	0.000289128922866525	0	0.000575786566554596	0.000346800316248382	0.000335832182757593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0140190542264066	0	0	0.0319605550353746	0.000651670520765166	0	0	0.000870885455756228	0	0	0.00302005228517999	0	0	0	0	0	0.000704631216272978	0.0663396900999454	0	0.00424007054530872	0	0	0.0303286450330625	0.00211365299550052	2.9654978319078e-05	0	0.00772020799829866	0	3.00698710960287e-05	0	8.21435145113691e-05	0	0	0	0	2.12303195232156e-05	0.0335093717727377	0	0.0457279505101569	0.00010245820039612	0	0	0	0	0.000153407796559289	0	0	0	0.000267388248588546	0	0.000118990740636022	0	0	0.000358902304301675	0	0.000523714824278451	0.000287207236831232	0.00210617147869032	0.00029257644078802
