MetaOTU	Species	Type	Sample	RelativeAbundance
MS00054;MS00045	Bacteroides fragilis	Newborn	X105	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X10	0.76161202328499
MS00054;MS00045	Bacteroides fragilis	Newborn	X128	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X12	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X130	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X133	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X137	0.539984014205628
MS00054;MS00045	Bacteroides fragilis	Newborn	X150	0.709188059836255
MS00054;MS00045	Bacteroides fragilis	Newborn	X157	0.000590746935929724
MS00054;MS00045	Bacteroides fragilis	Newborn	X172	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X180	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X181	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X184	0.000627460356520062
MS00054;MS00045	Bacteroides fragilis	Newborn	X201	0.0716149806779837
MS00054;MS00045	Bacteroides fragilis	Newborn	X229	0.0857022938414393
MS00054;MS00045	Bacteroides fragilis	Newborn	X238	0.792195416629323
MS00054;MS00045	Bacteroides fragilis	Newborn	X240	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X256	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X258	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X263	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X265	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X268	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X26	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X272	0.337368187280208
MS00054;MS00045	Bacteroides fragilis	Newborn	X274	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X275	0.755670413143238
MS00054;MS00045	Bacteroides fragilis	Newborn	X276	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X281	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X282	0.010815582532639
MS00054;MS00045	Bacteroides fragilis	Newborn	X332	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X335	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X338	0.0101090080930131
MS00054;MS00045	Bacteroides fragilis	Newborn	X341	0.0300694312600782
MS00054;MS00045	Bacteroides fragilis	Newborn	X343	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X350	0.025261695984531
MS00054;MS00045	Bacteroides fragilis	Newborn	X367	0.107356620073694
MS00054;MS00045	Bacteroides fragilis	Newborn	X377	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X383	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X385	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X397	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X39	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X42	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X45	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X51	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X521	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X526	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X527	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X536	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X544	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X549	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X560	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X565	0.303005688918061
MS00054;MS00045	Bacteroides fragilis	Newborn	X567	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X572	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X582	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X585	0
MS00054;MS00045	Bacteroides fragilis	Newborn	X587	0.587076749644227
