103_B	105_B	10_B	128_B	12_B	130_B	133_B	137_B	150_B	157_B	172_B	179_B	180_B	181_B	184_B	18_B	195_B	1_B	201_B	203_B	224_B	229_B	238_B	240_B	241_B	244_B	256_B	258_B	263_B	265_B	268_B	26_B	272_B	274_B	275_B	276_B	281_B	282_B	332_B	335_B	338_B	341_B	343_B	345_B	350_B	367_B	377_B	383_B	385_B	387_B	38_B	397_B	39_B	42_B	45_B	503_B	504_B	507_B	511_B	51_B	521_B	526_B	527_B	532_B	536_B	53_B	544_B	546_B	549_B	560_B	565_B	567_B	570_B	572_B	577_B	582_B	585_B	587_B	589_B	590_B	591_B	598_B	599_B	608_B	615_B	622_B	624_B	626_B	633_B	635_B	637_B	640_B	70_B	78_B	7_B	82_B	87_B	9_B
MN00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000861352193016894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.10250875531989e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.90608573211548e-05	0	0	0	0	0	0	0	0.402191837147473	0	6.07480436160644e-05	0	0	0	0	0	0	0	0	0	0	0	0	9.85524813262725e-05	0
MN00002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.10840932802479e-06	0	0	0	0	0	0	0	0	0	0	0.000261901369196391	0	0	0	0	0	0	0.000524605429293127	2.30154145616329e-05	0	0	0	0	0	0	0	0.000110837124686933	0	0	0	0	0	0	0	0	0
MN00003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00004	0	0	0	0.00188012204989435	0.00169418045609513	0	0	0	0	0	0	0.162052725557233	0	0	0.0121316335397948	0	0.0030945406160241	0	0	0	0	0.000259026560086329	0	0	0.00151629742590463	0.0060408012299131	0	0.000403204056887226	0.000593803597110649	0.000653443850290997	0.0399429474358101	0	0.00176761376489611	0.000492964761515889	0.00614755008470664	0.0996161363212736	0.00228477044232425	0.00775222858123933	0.0317216073229103	0.00365557626426577	0	0.00529580529374483	0	0.00528025649269275	0.00367385152901951	0	0.000682356526428943	0	0	0.00210325780761959	0.0210579161293939	0	0.00589785485615952	0.000837605691069359	0.711009899639627	0	0	0	0.00108913220972003	0	8.15244102157793e-05	0	0	0	0	0.0109119721496542	0	0	0	1.68076953633861e-05	0.00575722264488701	0.00285919446938917	0	0	0	0	0	0	0	0.0202651568591142	0.000621819429958876	0	0	0	0	0.00200978366607252	0.00359308229445038	0	0.000377136511693377	0.00088685051639295	0.00201199319267456	0	0.000404372238115219	0	0.00856513123412186	0.173734228874978	0	0
MN00005	0	0	0	0	0	0	0	0	0	4.71607843461296e-05	5.09840742248194e-05	0	0	0	0.00395349267047587	0	0	0	6.64522775423068e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000403461780628556	0.000995042611166662	0	0	0	0	5.67907257897068e-05	0.000324047835358864	0	0	0	0	0.067785592465048	0	0	0	0	0.000546970005244177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000905649307122564	0	0	0	0	0	0	0.0250336393334585	0	0.0178446883097793	0	0	0	0	0	0	0	0	0	0	0	0	0.00232248794900907	0	0	0	0	0
MN00006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000121427581586538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.44235224641639e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000118406127770535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0257418034971305	0	0	0	0	1.97206113685631e-05	0	0	0	5.93599425134462e-05
MN00008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.67483118891107e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.07665112804364e-05	0	0	0	0	0	0	0	0	0
MN00009	0	0	0	0	0	0.000150479117188939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013599781231838	0	0	0	0	0	0	0.000829744004185095	0.000204468175911107	0.000153612813070231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000115161862709203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000621964120570594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0106330928932806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000231758347564098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
