ID	Sample	Time	strain	RA
30301	156	0	Bbv	0.000176905028394466
30301	156	0	Blg	0.0014356910931945
30301	156	0	Bad	0.000541142004567696
30301	156	0	Rint	0.0274744288617129
30301	156	0	Bfr	0.00532281641670604
30301	156	0	Ehal	0.0140897903836603
30301	156	0	Fpr	0.153601216171699
30301	157	3	Bbv	8.96936740640542e-06
30301	157	3	Blg	8.39020253959181e-05
30301	157	3	Bad	1.74261995324448e-06
30301	157	3	Rint	0.0101782843722048
30301	157	3	Bfr	0.00803286294212062
30301	157	3	Ehal	0.010411026643019
30301	157	3	Fpr	0.0768482073463527
30301	158	7	Bbv	5.3123013420644e-06
30301	158	7	Blg	4.97528437520225e-05
30301	158	7	Bad	1.37091647537146e-06
30301	158	7	Rint	0.0234827710357565
30301	158	7	Bfr	0.00747452223132422
30301	158	7	Ehal	0.0136599831251606
30301	158	7	Fpr	0.0885747992307102
30301	159	14	Bbv	2.0843248703982e-06
30301	159	14	Blg	1.95214817129978e-05
30301	159	14	Bad	2.49102240608566e-06
30301	159	14	Rint	0.0109606510983528
30301	159	14	Bfr	0.0068369922724418
30301	159	14	Ehal	0.0120220808293051
30301	159	14	Fpr	0.10890633033865
30303	160	0	Bbv	0.000352528394840391
30303	160	0	Blg	0.00321435578287472
30303	160	0	Bad	0.0221207206447982
30303	160	0	Rint	0.00574170390781819
30303	160	0	Bfr	0.00338491672305063
30303	160	0	Ehal	0.0226925896035391
30303	160	0	Fpr	0.0679429035510761
30303	161	1	Bbv	0.000222360468414314
30303	161	1	Blg	0.00208225927011234
30303	161	1	Bad	0.021714855214972
30303	161	1	Rint	0.00715188990727929
30303	161	1	Bfr	0.00301894686697391
30303	161	1	Ehal	0.0194855308993298
30303	161	1	Fpr	0.122434980326035
30303	162	3	Bbv	7.39452803544513e-05
30303	162	3	Blg	0.000693262894527587
30303	162	3	Bad	0.0039168214327806
30303	162	3	Rint	0.00378957479254413
30303	162	3	Bfr	0.00401928155980768
30303	162	3	Ehal	0.0141677362035609
30303	162	3	Fpr	0.0388553795329544
30303	163	7	Bbv	1.02767740795093e-06
30303	163	7	Blg	4.65257590145059e-05
30303	163	7	Bad	0.000101366362511524
30303	163	7	Rint	0.00530543133115615
30303	163	7	Bfr	0.00320102827532935
30303	163	7	Ehal	0.015062480917899
30303	163	7	Fpr	0.0773302958926163
30303	164	14	Bbv	9.69666316487838e-08
30303	164	14	Blg	1.02784629547711e-05
30303	164	14	Bad	2.84112230730936e-05
30303	164	14	Rint	0.00484968911528227
30303	164	14	Bfr	0.0034561816518576
30303	164	14	Ehal	0.0124129894172558
30303	164	14	Fpr	0.0441781913124492
30302	165	0	Bbv	0.000271078818296731
30302	165	0	Blg	0.00322862154380962
30302	165	0	Bad	0.00377465247272014
30302	165	0	Rint	0.00877037325936825
30302	165	0	Bfr	0.00151223660837586
30302	165	0	Ehal	0.0171473233071182
30302	165	0	Fpr	0.108893895133554
30302	166	1	Bbv	0.00025330425859869
30302	166	1	Blg	0.00308896161970193
30302	166	1	Bad	0.00149994302982346
30302	166	1	Rint	0.00177936929009014
30302	166	1	Bfr	0.00182239376342565
30302	166	1	Ehal	0.0121543671539995
30302	166	1	Fpr	0.0531061225175892
30302	167	3	Bbv	4.0972403488831e-05
30302	167	3	Blg	0.000821185613563424
30302	167	3	Bad	1.56939438808108e-05
30302	167	3	Rint	0.00957453886288521
30302	167	3	Bfr	0.00214452138151322
30302	167	3	Ehal	0.0101728144235415
30302	167	3	Fpr	0.0862367082804667
30302	168	7	Bbv	3.52619537767039e-05
30302	168	7	Blg	0.000679356391439259
30302	168	7	Bad	2.20387211104399e-06
30302	168	7	Rint	0.00166038699789259
30302	168	7	Bfr	0.00314174782639269
30302	168	7	Ehal	0.0082197766872768
30302	168	7	Fpr	0.0580346155529613
30302	169	14	Bbv	3.61238663921531e-05
30302	169	14	Blg	0.000801240909543701
30302	169	14	Bad	2.71059314919475e-06
30302	169	14	Rint	0.019852175717537
