MetaOTU	Species	Type	Sample	RelativeAbundance
MS00045;MS00054	Bacteroides fragilis	4 Months	X105	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X10	0.303324120869163
MS00045;MS00054	Bacteroides fragilis	4 Months	X128	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X12	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X130	0.158569052205237
MS00045;MS00054	Bacteroides fragilis	4 Months	X133	0.0223544309783219
MS00045;MS00054	Bacteroides fragilis	4 Months	X137	0.164418752320596
MS00045;MS00054	Bacteroides fragilis	4 Months	X150	0.570838263374488
MS00045;MS00054	Bacteroides fragilis	4 Months	X157	0.696228113223779
MS00045;MS00054	Bacteroides fragilis	4 Months	X172	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X180	0.546833554327656
MS00045;MS00054	Bacteroides fragilis	4 Months	X181	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X184	0.000490544232726883
MS00045;MS00054	Bacteroides fragilis	4 Months	X201	0.0417090494185544
MS00045;MS00054	Bacteroides fragilis	4 Months	X229	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X238	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X240	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X256	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X258	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X263	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X265	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X268	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X26	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X272	0.0457205484375316
MS00045;MS00054	Bacteroides fragilis	4 Months	X274	0.160181798240065
MS00045;MS00054	Bacteroides fragilis	4 Months	X275	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X276	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X281	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X282	0.00311856263900884
MS00045;MS00054	Bacteroides fragilis	4 Months	X332	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X335	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X338	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X341	0.0354241486096166
MS00045;MS00054	Bacteroides fragilis	4 Months	X343	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X350	0.107628325815576
MS00045;MS00054	Bacteroides fragilis	4 Months	X367	0.00635482898901555
MS00045;MS00054	Bacteroides fragilis	4 Months	X377	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X383	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X385	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X397	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X39	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X42	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X45	0.0367754455779701
MS00045;MS00054	Bacteroides fragilis	4 Months	X51	0.129844469522317
MS00045;MS00054	Bacteroides fragilis	4 Months	X521	0.3538818879446
MS00045;MS00054	Bacteroides fragilis	4 Months	X526	0.0491262366454499
MS00045;MS00054	Bacteroides fragilis	4 Months	X527	6.39520760119186e-05
MS00045;MS00054	Bacteroides fragilis	4 Months	X536	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X544	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X549	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X560	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X565	0.114669010805377
MS00045;MS00054	Bacteroides fragilis	4 Months	X567	0.0107591336896526
MS00045;MS00054	Bacteroides fragilis	4 Months	X572	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X582	0.125110255414691
MS00045;MS00054	Bacteroides fragilis	4 Months	X585	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X587	0.223628220246323
MS00045;MS00054	Bacteroides fragilis	4 Months	X589	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X590	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X591	0.0961305870918594
MS00045;MS00054	Bacteroides fragilis	4 Months	X599	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X608	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X615	0.0138157333137582
MS00045;MS00054	Bacteroides fragilis	4 Months	X624	0.550349822664678
MS00045;MS00054	Bacteroides fragilis	4 Months	X633	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X637	0
MS00045;MS00054	Bacteroides fragilis	4 Months	X78	0.0643551878486818
MS00045;MS00054	Bacteroides fragilis	4 Months	X87	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X105	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X10	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X128	0.0534983403136537
MS00052	Bacteroides thetaiotaomicron	4 Months	X12	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X130	0.203631098525427
MS00052	Bacteroides thetaiotaomicron	4 Months	X133	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X137	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X150	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X157	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X172	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X180	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X181	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X184	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X201	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X229	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X238	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X240	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X256	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X258	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X263	0.00418891897232139
MS00052	Bacteroides thetaiotaomicron	4 Months	X265	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X268	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X26	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X272	0.257040177092813
MS00052	Bacteroides thetaiotaomicron	4 Months	X274	0.00110059125995843
MS00052	Bacteroides thetaiotaomicron	4 Months	X275	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X276	0.0279904588683274
MS00052	Bacteroides thetaiotaomicron	4 Months	X281	0.0201861436073191
MS00052	Bacteroides thetaiotaomicron	4 Months	X282	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X332	0.126300908310517
MS00052	Bacteroides thetaiotaomicron	4 Months	X335	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X338	0.00268171226124329
MS00052	Bacteroides thetaiotaomicron	4 Months	X341	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X343	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X350	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X367	0.0322347752353867
MS00052	Bacteroides thetaiotaomicron	4 Months	X377	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X383	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X385	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X397	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X39	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X42	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X45	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X51	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X521	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X526	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X527	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X536	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X544	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X549	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X560	0
MS00052	Bacteroides thetaiotaomicron	4 Months	X565	0.0322426248269665
MS00052	Bacteroides thetaiotaomicron	4 Months	X567	0
